id|Session Duration|End State|Points|date/time
1729703896933|16,06031|TimeOut|0|23/10/2024 14:18:16
1729703934443|16,0495|TimeOut|0|23/10/2024 14:18:54
1729704090991|16,08448|Completo|0|23/10/2024 14:21:30
1729704164159|16,06532|Completo|0|23/10/2024 14:22:44
1729704275270|16,06831|Completo|0|23/10/2024 14:24:35
1729704559301|16,07749|TimeOut|0|23/10/2024 14:29:19
1729705794548|16,05885|TimeOut|0|23/10/2024 14:49:54
1729705829923|16,10323|Completo|0|23/10/2024 14:50:29
1729705976393|16,0533|Completo|0|23/10/2024 14:52:56
1729706531695|16,08325|Completo|0|23/10/2024 15:02:11
1729706603355|16,27842|TimeOut|0|23/10/2024 15:03:23
1729706690352|16,06579|TimeOut|0|23/10/2024 15:04:50
1729707228634|16,05504|TimeOut|0|23/10/2024 15:13:48
1729707270009|16,31979|Completo|0|23/10/2024 15:14:30
1729707524883|16,05949|Completo|0|23/10/2024 15:18:44
1729707556276|16,09023|Completo|0|23/10/2024 15:19:16
1729707590689|16,03061|Completo|0|23/10/2024 15:19:50
1729707625146|16,12192|TimeOut|0|23/10/2024 15:20:25
1729707693916|16,07516|Completo|0|23/10/2024 15:21:33
1729709571356|16,07332|Completo|0|23/10/2024 15:52:51
1729709743265|16,1599|TimeOut|0|23/10/2024 15:55:43
1729709788112|16,06056|TimeOut|0|23/10/2024 15:56:28
1729709824093|16,06383|TimeOut|0|23/10/2024 15:57:04
1729709921589|16,08179|TimeOut|0|23/10/2024 15:58:41
1729710207430|16,10035|TimeOut|0|23/10/2024 16:03:27
1729710250427|16,15422|Completo|0|23/10/2024 16:04:10
1729710290116|16,08483|TimeOut|0|23/10/2024 16:04:50
1729710425367|16,06081|TimeOut|0|23/10/2024 16:07:05
1729710581692|16,10565|TimeOut|0|23/10/2024 16:09:41
1729710821531|16,08047|Completo|0|23/10/2024 16:13:41
1729710870990|16,07331|TimeOut|0|23/10/2024 16:14:30
